latitude,longitude
34.0657434,-117.3871581
34.0657501,-117.3873419
34.0657722,-117.3874947
34.0659397,-117.3784302
34.0659509,-117.3782292
34.0659708,-117.3780555
34.06601,-117.3778787
34.0661342,-117.3774913
34.0662216,-117.3772167
34.0663199,-117.3769319
34.0664075,-117.3766559
34.0664981,-117.3763811
34.0665908,-117.3761088
34.0666782,-117.3758333
34.0667687,-117.3755591
34.0668601,-117.3752821
34.0670164,-117.3747552
34.0671571,-117.3742902
34.0672511,-117.3739716
34.0673526,-117.3736277
34.0674249,-117.3733522
34.0674727,-117.3731008
34.0675575,-117.3726237
34.0676006,-117.3657355
34.0676729,-117.3670864
34.0677241,-117.3679606
34.0677606,-117.3712138
34.0677641,-117.3685915
34.0677994,-117.3708241
34.0678032,-117.3692458
34.0678239,-117.3704841
34.0678309,-117.3696887
34.0678373,-117.3699434
34.0678309,-117.3696887
34.0678239,-117.3704841
34.0678032,-117.3692458
34.0677994,-117.3708241
34.0677641,-117.3685915
34.0677606,-117.3712138
34.0677241,-117.3679606
34.0676729,-117.3670864
34.0676006,-117.3657355
34.0675575,-117.3726237
34.0674727,-117.3731008
34.0674249,-117.3733522
34.0673526,-117.3736277
34.0672511,-117.3739716
34.0671571,-117.3742902
34.0670164,-117.3747552
34.0668601,-117.3752821
34.0667687,-117.3755591
34.0666782,-117.3758333
34.0665908,-117.3761088
34.0664981,-117.3763811
34.0664075,-117.3766559
34.0663199,-117.3769319
34.0662216,-117.3772167
34.0661342,-117.3774913
34.06601,-117.3778787
34.0659708,-117.3780555
34.0659509,-117.3782292
34.0659397,-117.3784302
34.0657722,-117.3874947
34.0657501,-117.3873419
34.0657434,-117.3871581
