latitude,longitude
34.0670968,-117.3881907
34.0672209,-117.3878384
34.0672694,-117.3876628
34.0673113,-117.3874731
34.0673671,-117.3871103
34.0673832,-117.3868502
34.0675741,-117.3786936
34.0675876,-117.378442
34.0676074,-117.3782166
34.0677488,-117.3769952
34.0677674,-117.3767728
34.0677488,-117.3769952
34.0676074,-117.3782166
34.0675876,-117.378442
34.0675741,-117.3786936
34.0673832,-117.3868502
34.0673671,-117.3871103
34.0673113,-117.3874731
34.0672694,-117.3876628
34.0672209,-117.3878384
34.0670968,-117.3881907
