latitude,longitude
34.063556,-117.3843758
34.063562,-117.3846313
34.0635893,-117.384942
34.0636197,-117.3815997
34.0636362,-117.3852656
34.063647,-117.3803936
34.0636785,-117.3800278
34.0636909,-117.3855132
34.0637411,-117.3796978
34.0637679,-117.385809
34.0638082,-117.3794435
34.0638873,-117.3861488
34.0639136,-117.3791682
34.0640039,-117.3789548
34.0640302,-117.386476
34.0642217,-117.3868304
34.0644349,-117.387148
34.0648243,-117.387663
34.0656872,-117.3887874
34.0660114,-117.3892238
34.0662086,-117.3895995
34.0662602,-117.3747267
34.0663419,-117.3899746
34.0664084,-117.3744201
34.0664848,-117.3742407
34.0665317,-117.3907013
34.0665431,-117.3740465
34.0666403,-117.3737376
34.0667232,-117.3914495
34.0667712,-117.3916803
34.0669808,-117.3725851
34.067055,-117.3722737
34.0670951,-117.3720159
34.0671162,-117.3717708
34.0671252,-117.3715191
34.0671396,-117.3710455
34.0671497,-117.3706472
34.0671396,-117.3710455
34.0671252,-117.3715191
34.0671162,-117.3717708
34.0670951,-117.3720159
34.067055,-117.3722737
34.0669808,-117.3725851
34.0667712,-117.3916803
34.0667232,-117.3914495
34.0666403,-117.3737376
34.0665431,-117.3740465
34.0665317,-117.3907013
34.0664848,-117.3742407
34.0664084,-117.3744201
34.0663419,-117.3899746
34.0662602,-117.3747267
34.0662086,-117.3895995
34.0660114,-117.3892238
34.0656872,-117.3887874
34.0648243,-117.387663
34.0644349,-117.387148
34.0642217,-117.3868304
34.0640302,-117.386476
34.0640039,-117.3789548
34.0639136,-117.3791682
34.0638873,-117.3861488
34.0638082,-117.3794435
34.0637679,-117.385809
34.0637411,-117.3796978
34.0636909,-117.3855132
34.0636785,-117.3800278
34.063647,-117.3803936
34.0636362,-117.3852656
34.0636197,-117.3815997
34.0635893,-117.384942
34.063562,-117.3846313
34.063556,-117.3843758
