latitude,longitude
34.0663987,-117.387223
34.0664011,-117.3873759
34.0664158,-117.3875698
34.0664642,-117.3879594
34.0664893,-117.3881534
34.066504,-117.3883536
34.0665136,-117.3887304
34.0665919,-117.3785453
34.0665985,-117.3784043
34.0666163,-117.3782192
34.0666453,-117.3780138
34.0670013,-117.3762386
34.0670418,-117.3759267
34.0670013,-117.3762386
34.0666453,-117.3780138
34.0666163,-117.3782192
34.0665985,-117.3784043
34.0665919,-117.3785453
34.0665136,-117.3887304
34.066504,-117.3883536
34.0664893,-117.3881534
34.0664642,-117.3879594
34.0664158,-117.3875698
34.0664011,-117.3873759
34.0663987,-117.387223
