latitude,longitude
34.0663186,-117.3874608
34.0663236,-117.3882096
34.0663274,-117.3883452
34.0663313,-117.3879574
34.0665199,-117.3785715
34.0665322,-117.3782726
34.066552,-117.3780954
34.0670506,-117.3755886
34.0670837,-117.3753408
34.0671044,-117.3750811
34.0671399,-117.3748245
34.0671044,-117.3750811
34.0670837,-117.3753408
34.0670506,-117.3755886
34.066552,-117.3780954
34.0665322,-117.3782726
34.0665199,-117.3785715
34.0663313,-117.3879574
34.0663274,-117.3883452
34.0663236,-117.3882096
34.0663186,-117.3874608
