latitude,longitude
34.0665367,-117.4336268
34.0665367,-117.4333558
34.0665572,-117.4338983
34.0673247,-117.3996506
34.0673327,-117.3994764
34.0673457,-117.3992974
34.0673762,-117.3990497
34.0674022,-117.3987647
34.0674135,-117.3984577
34.0674163,-117.398305
34.0674248,-117.3981626
34.0674163,-117.398305
34.0674135,-117.3984577
34.0674022,-117.3987647
34.0673762,-117.3990497
34.0673457,-117.3992974
34.0673327,-117.3994764
34.0673247,-117.3996506
34.0665572,-117.4338983
34.0665367,-117.4333558
34.0665367,-117.4336268
