latitude,longitude
41.1540786,-100.8366473
41.1540807,-100.8362906
41.1540852,-100.8358386
41.1540886,-100.816056
41.1540887,-100.8372213
41.1541014,-100.8353639
41.1541256,-100.834857
41.154166,-100.834114
41.1542281,-100.8334314
41.1543576,-100.8445343
41.1544384,-100.846838
41.1544481,-100.8471784
41.1547047,-100.8207472
41.1547698,-100.8212555
41.1548279,-100.8217262
41.1548809,-100.8221379
41.1549193,-100.8225349
41.1549399,-100.8228321
41.1549415,-100.8248738
41.1549455,-100.8229131
41.1549612,-100.8244996
41.1549657,-100.8233664
41.1549693,-100.8241375
41.1549718,-100.8237902
41.1549693,-100.8241375
41.1549657,-100.8233664
41.1549612,-100.8244996
41.1549455,-100.8229131
41.1549415,-100.8248738
41.1549399,-100.8228321
41.1549193,-100.8225349
41.1548809,-100.8221379
41.1548279,-100.8217262
41.1547698,-100.8212555
41.1547047,-100.8207472
41.1544481,-100.8471784
41.1544384,-100.846838
41.1543576,-100.8445343
41.1542281,-100.8334314
41.154166,-100.834114
41.1541256,-100.834857
41.1541014,-100.8353639
41.1540887,-100.8372213
41.1540886,-100.816056
41.1540852,-100.8358386
41.1540807,-100.8362906
41.1540786,-100.8366473
