latitude,longitude
41.1554418,-100.8425509
41.1555261,-100.8429538
41.1556579,-100.8435843
41.1557705,-100.8441203
41.1559201,-100.8448378
41.1560559,-100.8454874
41.1562374,-100.8463551
41.1563589,-100.8469256
41.1564835,-100.8475397
41.1566377,-100.8482693
41.1567605,-100.8488568
41.1568191,-100.8491277
41.1568454,-100.8493208
41.1568851,-100.8495635
41.1568454,-100.8493208
41.1568191,-100.8491277
41.1567605,-100.8488568
41.1566377,-100.8482693
41.1564835,-100.8475397
41.1563589,-100.8469256
41.1562374,-100.8463551
41.1560559,-100.8454874
41.1559201,-100.8448378
41.1557705,-100.8441203
41.1556579,-100.8435843
41.1555261,-100.8429538
41.1554418,-100.8425509
