latitude,longitude
32.7179155,-97.3875409
32.7181189,-97.3869048
32.7184719,-97.3858115
32.7189934,-97.3841688
32.7195214,-97.3825042
32.7196707,-97.3820601
32.7198467,-97.3815983
32.7200746,-97.3811013
32.7202799,-97.3806936
32.7205268,-97.380198
32.7209819,-97.3792906
32.7214752,-97.3783097
32.7220551,-97.3771531
32.7227585,-97.3757324
32.7233668,-97.3745329
32.7238581,-97.3735504
32.7245811,-97.37211
32.7248137,-97.3716465
32.724978,-97.3713284
32.7252063,-97.3709331
32.7253928,-97.3705665
32.7256268,-97.3701058
32.7256665,-97.3700295
32.7259889,-97.3693996
32.7256665,-97.3700295
32.7256268,-97.3701058
32.7253928,-97.3705665
32.7252063,-97.3709331
32.724978,-97.3713284
32.7248137,-97.3716465
32.7245811,-97.37211
32.7238581,-97.3735504
32.7233668,-97.3745329
32.7227585,-97.3757324
32.7220551,-97.3771531
32.7214752,-97.3783097
32.7209819,-97.3792906
32.7205268,-97.380198
32.7202799,-97.3806936
32.7200746,-97.3811013
32.7198467,-97.3815983
32.7196707,-97.3820601
32.7195214,-97.3825042
32.7189934,-97.3841688
32.7184719,-97.3858115
32.7181189,-97.3869048
32.7179155,-97.3875409
