latitude,longitude
32.7209859,-97.3818966
32.7210688,-97.3817028
32.7211375,-97.3815224
32.7212205,-97.3813345
32.7213346,-97.3811097
32.7217591,-97.3802624
32.7221835,-97.3794151
32.722608,-97.3785678
32.7230325,-97.3777205
32.7234569,-97.3768732
32.7238814,-97.3760259
32.7243058,-97.3751786
32.7244336,-97.3749241
32.7245325,-97.3746752
32.7246245,-97.3744037
32.7249753,-97.3733188
32.7250634,-97.3730089
32.7249753,-97.3733188
32.7246245,-97.3744037
32.7245325,-97.3746752
32.7244336,-97.3749241
32.7243058,-97.3751786
32.7238814,-97.3760259
32.7234569,-97.3768732
32.7230325,-97.3777205
32.722608,-97.3785678
32.7221835,-97.3794151
32.7217591,-97.3802624
32.7213346,-97.3811097
32.7212205,-97.3813345
32.7211375,-97.3815224
32.7210688,-97.3817028
32.7209859,-97.3818966
