latitude,longitude
32.7186601,-97.38611
32.718814,-97.3857163
32.7189418,-97.3853351
32.7193563,-97.3840475
32.7198366,-97.3825465
32.7201085,-97.3816985
32.7202906,-97.381213
32.7204661,-97.3808132
32.7207076,-97.3803243
32.7211667,-97.3794132
32.7216626,-97.3784162
32.7222449,-97.3772679
32.7229492,-97.3758589
32.7235503,-97.3746594
32.7240455,-97.3736746
32.7247707,-97.3722267
32.7249969,-97.3717737
32.7251751,-97.3713337
32.7253424,-97.3708891
32.7254543,-97.3705383
32.7256268,-97.3701058
32.7254543,-97.3705383
32.7253424,-97.3708891
32.7251751,-97.3713337
32.7249969,-97.3717737
32.7247707,-97.3722267
32.7240455,-97.3736746
32.7235503,-97.3746594
32.7229492,-97.3758589
32.7222449,-97.3772679
32.7216626,-97.3784162
32.7211667,-97.3794132
32.7207076,-97.3803243
32.7204661,-97.3808132
32.7202906,-97.381213
32.7201085,-97.3816985
32.7198366,-97.3825465
32.7193563,-97.3840475
32.7189418,-97.3853351
32.718814,-97.3857163
32.7186601,-97.38611
