latitude,longitude
32.7141142,-97.3987881
32.7147828,-97.3968809
32.7154635,-97.3949246
32.716688,-97.3914267
32.7174518,-97.3892562
32.7176903,-97.388648
32.7179185,-97.3881073
32.7180616,-97.3877366
32.7181884,-97.3873587
32.7183587,-97.3868164
32.7184947,-97.3863952
32.7183587,-97.3868164
32.7181884,-97.3873587
32.7180616,-97.3877366
32.7179185,-97.3881073
32.7176903,-97.388648
32.7174518,-97.3892562
32.716688,-97.3914267
32.7154635,-97.3949246
32.7147828,-97.3968809
32.7141142,-97.3987881
