latitude,longitude
32.7111521,-97.4074467
32.7113301,-97.4070446
32.7113576,-97.4069778
32.7113839,-97.4069117
32.7114764,-97.406658
32.7115797,-97.4063556
32.7116829,-97.4060581
32.7118025,-97.4057198
32.7118422,-97.4056068
32.711894,-97.4054631
32.7119422,-97.4053267
32.7119887,-97.4051962
32.7120459,-97.4050245
32.7121033,-97.4048624
32.712157,-97.4047103
32.7122052,-97.4045696
32.7122583,-97.4044216
32.7123124,-97.4042695
32.7123724,-97.4040899
32.7124493,-97.4038724
32.7125584,-97.4035603
32.7126955,-97.4031761
32.7127287,-97.4030949
32.712769,-97.4029936
32.7128117,-97.4028901
32.712868,-97.4027538
32.7133225,-97.4016604
32.7133595,-97.4015703
32.7134152,-97.4014315
32.7135116,-97.4011893
32.7136106,-97.4009124
32.7137001,-97.4006538
32.7137771,-97.4004342
32.7170234,-97.3911698
32.7170607,-97.3910598
32.7170874,-97.3909569
32.7172226,-97.3904512
32.7170874,-97.3909569
32.7170607,-97.3910598
32.7170234,-97.3911698
32.7137771,-97.4004342
32.7137001,-97.4006538
32.7136106,-97.4009124
32.7135116,-97.4011893
32.7134152,-97.4014315
32.7133595,-97.4015703
32.7133225,-97.4016604
32.712868,-97.4027538
32.7128117,-97.4028901
32.712769,-97.4029936
32.7127287,-97.4030949
32.7126955,-97.4031761
32.7125584,-97.4035603
32.7124493,-97.4038724
32.7123724,-97.4040899
32.7123124,-97.4042695
32.7122583,-97.4044216
32.7122052,-97.4045696
32.712157,-97.4047103
32.7121033,-97.4048624
32.7120459,-97.4050245
32.7119887,-97.4051962
32.7119422,-97.4053267
32.711894,-97.4054631
32.7118422,-97.4056068
32.7118025,-97.4057198
32.7116829,-97.4060581
32.7115797,-97.4063556
32.7114764,-97.406658
32.7113839,-97.4069117
32.7113576,-97.4069778
32.7113301,-97.4070446
32.7111521,-97.4074467
