latitude,longitude
32.7201027,-97.3838062
32.7201677,-97.3836386
32.7202681,-97.3833067
32.7203138,-97.3831377
32.7203489,-97.382956
32.7203962,-97.3825852
32.7204335,-97.381857
32.720438,-97.3822167
32.720438,-97.381415
32.7204405,-97.3820755
32.7204756,-97.3812074
32.720547,-97.3809926
32.7206997,-97.3806749
32.7212894,-97.3795004
32.721879,-97.378326
32.7224687,-97.3771516
32.7230584,-97.3759772
32.723648,-97.3748028
32.7242377,-97.3736283
32.7248273,-97.3724539
32.7248909,-97.3723391
32.7250931,-97.3720023
32.7252445,-97.3716903
32.7253469,-97.3714391
32.7254546,-97.3710901
32.7253469,-97.3714391
32.7252445,-97.3716903
32.7250931,-97.3720023
32.7248909,-97.3723391
32.7248273,-97.3724539
32.7242377,-97.3736283
32.723648,-97.3748028
32.7230584,-97.3759772
32.7224687,-97.3771516
32.721879,-97.378326
32.7212894,-97.3795004
32.7206997,-97.3806749
32.720547,-97.3809926
32.7204756,-97.3812074
32.7204405,-97.3820755
32.720438,-97.381415
32.720438,-97.3822167
32.7204335,-97.381857
32.7203962,-97.3825852
32.7203489,-97.382956
32.7203138,-97.3831377
32.7202681,-97.3833067
32.7201677,-97.3836386
32.7201027,-97.3838062
