latitude,longitude
32.7212835,-97.3825211
32.7217181,-97.3820905
32.7217998,-97.3819736
32.721882,-97.381833
32.722011,-97.3815729
32.7235826,-97.3784406
32.7236927,-97.378192
32.7237709,-97.3779577
32.7239058,-97.3774222
32.723989,-97.3771709
32.7240639,-97.3769836
32.7241381,-97.3768093
32.724523,-97.376042
32.7241381,-97.3768093
32.7240639,-97.3769836
32.723989,-97.3771709
32.7239058,-97.3774222
32.7237709,-97.3779577
32.7236927,-97.378192
32.7235826,-97.3784406
32.722011,-97.3815729
32.721882,-97.381833
32.7217998,-97.3819736
32.7217181,-97.3820905
32.7212835,-97.3825211
