latitude,longitude
41.1435315,-100.7907683
41.1435439,-100.7909088
41.1435746,-100.791287
41.1435887,-100.791853
41.1435996,-100.7926029
41.1436297,-100.7953551
41.143632,-100.7962035
41.1436473,-100.796453
41.1436562,-100.8361416
41.1436582,-100.8360837
41.1436671,-100.835824
41.1436675,-100.8364796
41.1437047,-100.8367531
41.1437103,-100.8355515
41.1437221,-100.7972901
41.1437275,-100.8369271
41.1437641,-100.8352946
41.1438327,-100.8350634
41.1438459,-100.7985366
41.1438921,-100.8381801
41.1439195,-100.8383635
41.1439293,-100.8348343
41.1439665,-100.8386806
41.1439783,-100.8387449
41.1440167,-100.8389295
41.1440513,-100.8391199
41.1441143,-100.8392937
41.1441939,-100.8394852
41.1442961,-100.8396982
41.1444403,-100.8399396
41.1449974,-100.8099997
41.1452721,-100.8322073
41.1454783,-100.8318071
41.1455294,-100.8415007
41.1455874,-100.8315879
41.1456688,-100.8417325
41.1457132,-100.8418064
41.1458203,-100.8419951
41.145853,-100.8420527
41.1459334,-100.8422104
41.1460469,-100.8306849
41.1461507,-100.8215893
41.1462352,-100.8303165
41.1462763,-100.842823
41.1462767,-100.8302354
41.1463801,-100.843022
41.1464411,-100.8299339
41.1464585,-100.8432039
41.1465235,-100.8433857
41.1465567,-100.8296743
41.1465829,-100.8435906
41.1466128,-100.8437242
41.1466284,-100.8438178
41.1466419,-100.8438985
41.1466472,-100.8294162
41.1466787,-100.8441651
41.1467049,-100.8291786
41.1467461,-100.8289452
41.1467486,-100.8289217
41.1467504,-100.827595
41.1467675,-100.8277677
41.1467768,-100.844875
41.1467797,-100.828626
41.1467868,-100.8284686
41.1467906,-100.8283852
41.146795,-100.8281111
41.1468035,-100.8450938
41.146795,-100.8281111
41.1467906,-100.8283852
41.1467868,-100.8284686
41.1467797,-100.828626
41.1467768,-100.844875
41.1467675,-100.8277677
41.1467504,-100.827595
41.1467486,-100.8289217
41.1467461,-100.8289452
41.1467049,-100.8291786
41.1466787,-100.8441651
41.1466472,-100.8294162
41.1466419,-100.8438985
41.1466284,-100.8438178
41.1466128,-100.8437242
41.1465829,-100.8435906
41.1465567,-100.8296743
41.1465235,-100.8433857
41.1464585,-100.8432039
41.1464411,-100.8299339
41.1463801,-100.843022
41.1462767,-100.8302354
41.1462763,-100.842823
41.1462352,-100.8303165
41.1461507,-100.8215893
41.1460469,-100.8306849
41.1459334,-100.8422104
41.145853,-100.8420527
41.1458203,-100.8419951
41.1457132,-100.8418064
41.1456688,-100.8417325
41.1455874,-100.8315879
41.1455294,-100.8415007
41.1454783,-100.8318071
41.1452721,-100.8322073
41.1449974,-100.8099997
41.1444403,-100.8399396
41.1442961,-100.8396982
41.1441939,-100.8394852
41.1441143,-100.8392937
41.1440513,-100.8391199
41.1440167,-100.8389295
41.1439783,-100.8387449
41.1439665,-100.8386806
41.1439293,-100.8348343
41.1439195,-100.8383635
41.1438921,-100.8381801
41.1438459,-100.7985366
41.1438327,-100.8350634
41.1437641,-100.8352946
41.1437275,-100.8369271
41.1437221,-100.7972901
41.1437103,-100.8355515
41.1437047,-100.8367531
41.1436675,-100.8364796
41.1436671,-100.835824
41.1436582,-100.8360837
41.1436562,-100.8361416
41.1436473,-100.796453
41.143632,-100.7962035
41.1436297,-100.7953551
41.1435996,-100.7926029
41.1435887,-100.791853
41.1435746,-100.791287
41.1435439,-100.7909088
41.1435315,-100.7907683
