latitude,longitude
41.1486744,-100.8471901
41.1490034,-100.8472261
41.1491793,-100.8472894
41.1493387,-100.8473789
41.149474,-100.8474916
41.1495588,-100.8475748
41.149658,-100.8476917
41.1497344,-100.8478081
41.149809,-100.8498519
41.1498357,-100.8479921
41.1499142,-100.8482212
41.1499468,-100.8493708
41.1499687,-100.8484331
41.1499973,-100.8491294
41.1500033,-100.8486466
41.1500172,-100.8488703
41.1500033,-100.8486466
41.1499973,-100.8491294
41.1499687,-100.8484331
41.1499468,-100.8493708
41.1499142,-100.8482212
41.1498357,-100.8479921
41.149809,-100.8498519
41.1497344,-100.8478081
41.149658,-100.8476917
41.1495588,-100.8475748
41.149474,-100.8474916
41.1493387,-100.8473789
41.1491793,-100.8472894
41.1490034,-100.8472261
41.1486744,-100.8471901
