latitude,longitude
41.1552803,-100.8411803
41.1552904,-100.8409147
41.1553207,-100.8406626
41.1553812,-100.8404212
41.1554376,-100.8402855
41.1554721,-100.8402066
41.1555832,-100.8399974
41.1557609,-100.8397667
41.1559003,-100.839638
41.1560961,-100.8395119
41.1562617,-100.8394422
41.1564395,-100.8393993
41.1566252,-100.8393939
41.1567994,-100.8394274
41.1568272,-100.8479099
41.1568499,-100.8476296
41.1568634,-100.8489581
41.1568851,-100.8495635
41.1568878,-100.8473654
41.1569484,-100.8470892
41.1569746,-100.8394878
41.1570352,-100.8467539
41.1571362,-100.839579
41.1573038,-100.8397238
41.1574169,-100.8398472
41.1575118,-100.8399813
41.1575946,-100.8401181
41.1576834,-100.8403005
41.1577587,-100.8405513
41.1578031,-100.8408034
41.1579,-100.8434561
41.1579364,-100.8432415
41.157948,-100.8426501
41.1579545,-100.8430994
41.1579586,-100.8428929
41.1579545,-100.8430994
41.157948,-100.8426501
41.1579364,-100.8432415
41.1579,-100.8434561
41.1578031,-100.8408034
41.1577587,-100.8405513
41.1576834,-100.8403005
41.1575946,-100.8401181
41.1575118,-100.8399813
41.1574169,-100.8398472
41.1573038,-100.8397238
41.1571362,-100.839579
41.1570352,-100.8467539
41.1569746,-100.8394878
41.1569484,-100.8470892
41.1568878,-100.8473654
41.1568851,-100.8495635
41.1568634,-100.8489581
41.1568499,-100.8476296
41.1568272,-100.8479099
41.1567994,-100.8394274
41.1566252,-100.8393939
41.1564395,-100.8393993
41.1562617,-100.8394422
41.1560961,-100.8395119
41.1559003,-100.839638
41.1557609,-100.8397667
41.1555832,-100.8399974
41.1554721,-100.8402066
41.1554376,-100.8402855
41.1553812,-100.8404212
41.1553207,-100.8406626
41.1552904,-100.8409147
41.1552803,-100.8411803
