latitude,longitude
41.1496275,-100.8179228
41.1496275,-100.8177083
41.1496424,-100.8173944
41.1496477,-100.8181776
41.1497615,-100.8101278
41.1498252,-100.815588
41.1498364,-100.8104263
41.1498775,-100.8106606
41.1499319,-100.8110637
41.1499645,-100.8141399
41.1500757,-100.8128175
41.1500854,-100.8122044
41.1500878,-100.8125415
41.1506272,-100.8255215
41.1506862,-100.825826
41.1507327,-100.8259681
41.1508195,-100.826239
41.1511059,-100.8269807
41.1513211,-100.8276351
41.1516125,-100.8285214
41.1513211,-100.8276351
41.1511059,-100.8269807
41.1508195,-100.826239
41.1507327,-100.8259681
41.1506862,-100.825826
41.1506272,-100.8255215
41.1500878,-100.8125415
41.1500854,-100.8122044
41.1500757,-100.8128175
41.1499645,-100.8141399
41.1499319,-100.8110637
41.1498775,-100.8106606
41.1498364,-100.8104263
41.1498252,-100.815588
41.1497615,-100.8101278
41.1496477,-100.8181776
41.1496424,-100.8173944
41.1496275,-100.8177083
41.1496275,-100.8179228
