latitude,longitude
41.1487586,-100.8503949
41.1488289,-100.8506598
41.1488751,-100.8508542
41.1490446,-100.8537682
41.1490523,-100.8540485
41.1490677,-100.8534367
41.1490831,-100.8525486
41.1490877,-100.8543575
41.1490935,-100.8530834
41.1490954,-100.8528801
41.149382,-100.8567558
41.1496748,-100.8591296
41.149382,-100.8567558
41.1490954,-100.8528801
41.1490935,-100.8530834
41.1490877,-100.8543575
41.1490831,-100.8525486
41.1490677,-100.8534367
41.1490523,-100.8540485
41.1490446,-100.8537682
41.1488751,-100.8508542
41.1488289,-100.8506598
41.1487586,-100.8503949
