latitude,longitude
41.1412373,-100.7698306
41.1412542,-100.7699586
41.141398,-100.7710432
41.1414268,-100.7712604
41.1415198,-100.7719256
41.1415543,-100.7721806
41.1415689,-100.7722655
41.1415821,-100.7723416
41.1415884,-100.7723789
41.1416329,-100.7726445
41.1418045,-100.7735557
41.1421661,-100.7751684
41.1429985,-100.7789076
41.1430914,-100.779326
41.1431761,-100.7797389
41.1432308,-100.7800126
41.1432932,-100.7803344
41.1433702,-100.7806993
41.1434557,-100.7812944
41.1435809,-100.7821714
41.1440852,-100.7860208
41.1441317,-100.7863426
41.1441739,-100.7865678
41.1442084,-100.7867503
41.1442325,-100.7869031
41.1442769,-100.7871043
41.1452525,-100.7914548
41.1474541,-100.8009954
41.1484356,-100.8052023
41.1485692,-100.8057752
41.1486659,-100.8061479
41.1487408,-100.8063975
41.1488297,-100.806647
41.1489024,-100.8068481
41.1490021,-100.807083
41.1490173,-100.8071189
41.1491304,-100.807371
41.1492294,-100.8075561
41.1493104,-100.8077064
41.1494273,-100.8079075
41.1495647,-100.8081355
41.1498577,-100.8085701
41.1503986,-100.8093241
41.1498577,-100.8085701
41.1495647,-100.8081355
41.1494273,-100.8079075
41.1493104,-100.8077064
41.1492294,-100.8075561
41.1491304,-100.807371
41.1490173,-100.8071189
41.1490021,-100.807083
41.1489024,-100.8068481
41.1488297,-100.806647
41.1487408,-100.8063975
41.1486659,-100.8061479
41.1485692,-100.8057752
41.1484356,-100.8052023
41.1474541,-100.8009954
41.1452525,-100.7914548
41.1442769,-100.7871043
41.1442325,-100.7869031
41.1442084,-100.7867503
41.1441739,-100.7865678
41.1441317,-100.7863426
41.1440852,-100.7860208
41.1435809,-100.7821714
41.1434557,-100.7812944
41.1433702,-100.7806993
41.1432932,-100.7803344
41.1432308,-100.7800126
41.1431761,-100.7797389
41.1430914,-100.779326
41.1429985,-100.7789076
41.1421661,-100.7751684
41.1418045,-100.7735557
41.1416329,-100.7726445
41.1415884,-100.7723789
41.1415821,-100.7723416
41.1415689,-100.7722655
41.1415543,-100.7721806
41.1415198,-100.7719256
41.1414268,-100.7712604
41.141398,-100.7710432
41.1412542,-100.7699586
41.1412373,-100.7698306
