latitude,longitude
41.1436795,-100.7939966
41.1437156,-100.7944001
41.1437506,-100.7947686
41.1440307,-100.7976327
41.1447867,-100.8051552
41.1455769,-100.8130249
41.1467075,-100.8243607
41.1467152,-100.8244616
41.1469082,-100.8265492
41.1469296,-100.8268087
41.1469924,-100.8275711
41.1469296,-100.8268087
41.1469082,-100.8265492
41.1467152,-100.8244616
41.1467075,-100.8243607
41.1455769,-100.8130249
41.1447867,-100.8051552
41.1440307,-100.7976327
41.1437506,-100.7947686
41.1437156,-100.7944001
41.1436795,-100.7939966
