latitude,longitude
41.1473957,-100.8318116
41.1474003,-100.8322422
41.1474017,-100.8323748
41.147404,-100.8324677
41.1474137,-100.8328485
41.147422,-100.8331782
41.1474332,-100.8336236
41.1474429,-100.8340073
41.1474482,-100.8342175
41.1474522,-100.8343221
41.1474785,-100.8345206
41.1483374,-100.8425881
41.1483424,-100.8424749
41.1483434,-100.8428134
41.1483449,-100.8428403
41.1483561,-100.8421636
41.1483616,-100.843146
41.1483616,-100.841188
41.1483732,-100.8417733
41.1483757,-100.8413409
41.1483798,-100.8414831
41.1483941,-100.8436408
41.1483798,-100.8414831
41.1483757,-100.8413409
41.1483732,-100.8417733
41.1483616,-100.841188
41.1483616,-100.843146
41.1483561,-100.8421636
41.1483449,-100.8428403
41.1483434,-100.8428134
41.1483424,-100.8424749
41.1483374,-100.8425881
41.1474785,-100.8345206
41.1474522,-100.8343221
41.1474482,-100.8342175
41.1474429,-100.8340073
41.1474332,-100.8336236
41.147422,-100.8331782
41.1474137,-100.8328485
41.147404,-100.8324677
41.1474017,-100.8323748
41.1474003,-100.8322422
41.1473957,-100.8318116
