latitude,longitude
41.1488418,-100.818765
41.1496947,-100.8252792
41.1498901,-100.8267714
41.1499345,-100.8270611
41.1499955,-100.8273039
41.150084,-100.8275868
41.1501526,-100.8277665
41.1502334,-100.8279355
41.1503465,-100.8281313
41.150496,-100.8283539
41.1506575,-100.8285524
41.1507626,-100.8286678
41.151481,-100.8292604
41.1516413,-100.8294292
41.1518436,-100.8297115
41.1520274,-100.8300462
41.1521393,-100.8302498
41.1521745,-100.8349807
41.1522581,-100.8305443
41.1523115,-100.8306946
41.1524104,-100.8344777
41.1524612,-100.8311156
41.1525097,-100.8341975
41.1525801,-100.8315943
41.1526147,-100.8337683
41.1526346,-100.8319054
41.1526649,-100.8334933
41.1526814,-100.8322905
41.1527093,-100.8327396
41.1527093,-100.8330695
41.1527093,-100.8327396
41.1526814,-100.8322905
41.1526649,-100.8334933
41.1526346,-100.8319054
41.1526147,-100.8337683
41.1525801,-100.8315943
41.1525097,-100.8341975
41.1524612,-100.8311156
41.1524104,-100.8344777
41.1523115,-100.8306946
41.1522581,-100.8305443
41.1521745,-100.8349807
41.1521393,-100.8302498
41.1520274,-100.8300462
41.1518436,-100.8297115
41.1516413,-100.8294292
41.151481,-100.8292604
41.1507626,-100.8286678
41.1506575,-100.8285524
41.150496,-100.8283539
41.1503465,-100.8281313
41.1502334,-100.8279355
41.1501526,-100.8277665
41.150084,-100.8275868
41.1499955,-100.8273039
41.1499345,-100.8270611
41.1498901,-100.8267714
41.1496947,-100.8252792
41.1488418,-100.818765
