latitude,longitude
37.7979313,-122.3002452
37.7979093,-122.3004334
37.7978975,-122.3005951
37.7978382,-122.3013055
37.7978314,-122.3014257
37.7978253,-122.3015467
37.7978321,-122.3017098
37.7978389,-122.3018299
37.7978470,-122.3018951
37.7978592,-122.3019930
37.7978863,-122.3021733
37.7979270,-122.3023535
37.7979745,-122.3025166
37.7980355,-122.3026968
37.7981169,-122.3028942
37.7982119,-122.3030745
37.7983475,-122.3032976
37.7984899,-122.3034865
37.7985985,-122.3036152
37.7986731,-122.3036925
37.7987951,-122.3038040
37.7989172,-122.3038984
37.7996700,-122.3043963
37.8007385,-122.3051024
37.8014317,-122.3055553
37.8017896,-122.3057891
37.8026984,-122.3063899
37.8036571,-122.3070212
37.8047422,-122.3077508
37.8054610,-122.3082143
37.8062748,-122.3087550
37.8064240,-122.3088408
37.8065461,-122.3088923
37.8066681,-122.3089352
37.8068020,-122.3089724
37.8069066,-122.3090061
37.8070234,-122.3090274
37.8071283,-122.3090306
37.8072635,-122.3090346
37.8073453,-122.3090257
37.8074759,-122.3090152
37.8076435,-122.3089675
37.8078547,-122.3089016
37.8080633,-122.3088132
37.8085125,-122.3086198
37.8088685,-122.3084790
37.8090776,-122.3083840
37.8092634,-122.3082996
37.8093869,-122.3082355
37.8094859,-122.3081794
37.8095836,-122.3081167
37.8096885,-122.3080268
37.8098381,-122.3078683
37.8099657,-122.3077060
37.8102411,-122.3073348
37.8103614,-122.3071743
37.8105244,-122.3069612
37.8105943,-122.3068620
37.8112410,-122.3059926
37.8114274,-122.3057497
37.8112410,-122.3059926
37.8105943,-122.3068620
37.8105244,-122.3069612
37.8103614,-122.3071743
37.8102411,-122.3073348
37.8099657,-122.3077060
37.8098381,-122.3078683
37.8096885,-122.3080268
37.8095836,-122.3081167
37.8094859,-122.3081794
37.8093869,-122.3082355
37.8092634,-122.3082996
37.8090776,-122.3083840
37.8088685,-122.3084790
37.8085125,-122.3086198
37.8080633,-122.3088132
37.8078547,-122.3089016
37.8076435,-122.3089675
37.8074759,-122.3090152
37.8073453,-122.3090257
37.8072635,-122.3090346
37.8071283,-122.3090306
37.8070234,-122.3090274
37.8069066,-122.3090061
37.8068020,-122.3089724
37.8066681,-122.3089352
37.8065461,-122.3088923
37.8064240,-122.3088408
37.8062748,-122.3087550
37.8054610,-122.3082143
37.8047422,-122.3077508
37.8036571,-122.3070212
37.8026984,-122.3063899
37.8017896,-122.3057891
37.8014317,-122.3055553
37.8007385,-122.3051024
37.7996700,-122.3043963
37.7989172,-122.3038984
37.7987951,-122.3038040
37.7986731,-122.3036925
37.7985985,-122.3036152
37.7984899,-122.3034865
37.7983475,-122.3032976
37.7982119,-122.3030745
37.7981169,-122.3028942
37.7980355,-122.3026968
37.7979745,-122.3025166
37.7979270,-122.3023535
37.7978863,-122.3021733
37.7978592,-122.3019930
37.7978470,-122.3018951
37.7978389,-122.3018299
37.7978321,-122.3017098
37.7978253,-122.3015467
37.7978314,-122.3014257
37.7978382,-122.3013055
37.7978975,-122.3005951
37.7979093,-122.3004334
37.7979313,-122.3002452
