latitude,longitude
37.8015156,-122.2730355
37.8044848,-122.2711866
37.8072649,-122.2694518
37.8091846,-122.2682568
37.8093935,-122.2681310
37.8096349,-122.2680062
37.8098474,-122.2679406
37.8100002,-122.2679165
37.8101773,-122.2679117
37.8103850,-122.2679375
37.8105791,-122.2679935
37.8107805,-122.2680872
37.8109816,-122.2682226
37.8111668,-122.2683938
37.8124437,-122.2698395
37.8126155,-122.2700142
37.8128000,-122.2701729
37.8130423,-122.2703475
37.8015156,-122.2730355
